SNR,R^2,P-value,Standard Error,Slope,Intercept
100,"[[np.float64(0.18034502444138006), np.float64(0.00018721578642303115), np.float64(0.001204963623803136)], [np.float64(0.19243150798655592), np.float64(0.08223470056443151), np.float64(0.12333069528445852)], [np.float64(0.43654867951786774), np.float64(0.2593930159707213), np.float64(0.23373020945856016)]]","[[np.float64(2.159435588450717e-76), np.float64(0.5703274456774108), np.float64(0.14978980582113838)], [np.float64(5.870047882955039e-82), np.float64(5.678848659115994e-34), np.float64(3.5227659904429607e-51)], [np.float64(1.1900865756373732e-216), np.float64(2.2729785481080057e-114), np.float64(1.2860656973172376e-101)]]","[[np.float64(0.013286989277395682), np.float64(0.017771446955196897), np.float64(0.020507084362511082)], [np.float64(0.011070568141470134), np.float64(0.01870481697694959), np.float64(0.016002504183110618)], [np.float64(0.008454067014687497), np.float64(0.01616389841269517), np.float64(0.009451672350729697)]]","[[np.float64(0.25855537016081637), np.float64(0.01008846554832415), np.float64(0.029549023516923605)], [np.float64(0.22418613673148846), np.float64(0.23227669577334792), np.float64(0.24899812349735026)], [np.float64(0.3087054240392621), np.float64(0.39684579718758034), np.float64(0.2165537283423662)]]","[[np.float64(0.02215052071401638), np.float64(0.2589951232901858), np.float64(0.62729189031104)], [np.float64(0.22309335333209107), np.float64(0.2901125950574699), np.float64(0.25272017756968357)], [np.float64(0.1380680000391866), np.float64(0.2645127349598988), np.float64(0.2739256511073538)]]"
120,"[[np.float64(0.18025186659916392), np.float64(0.0001321622103739017), np.float64(0.000973680759912879)], [np.float64(0.19121271404302598), np.float64(0.0840611663145144), np.float64(0.1069344740688967)], [np.float64(0.44137950149889804), np.float64(0.2572564417307552), np.float64(0.23315381878021174)]]","[[np.float64(2.381899102192856e-76), np.float64(0.6334583368797435), np.float64(0.19545228172594617)], [np.float64(2.1557431805217204e-81), np.float64(1.0117752195899287e-34), np.float64(3.1801581898009895e-44)], [np.float64(7.16682787725649e-220), np.float64(2.7223684452809285e-113), np.float64(2.459218988813728e-101)]]","[[np.float64(0.013289924763574056), np.float64(0.017763523566515557), np.float64(0.020483521304766418)], [np.float64(0.010913724099967263), np.float64(0.01805139033525459), np.float64(0.015774076084548613)], [np.float64(0.00849607794376326), np.float64(0.01650175834017941), np.float64(0.00974191284666459)]]","[[np.float64(0.25853099917622363), np.float64(0.008472311186564647), np.float64(0.02652863365084676)], [np.float64(0.22014287345019604), np.float64(0.22686398785014364), np.float64(0.2264391796252125)], [np.float64(0.31329724007629156), np.float64(0.40288800747038445), np.float64(0.2228444447262518)]]","[[np.float64(0.022162304780392134), np.float64(0.2605253159410131), np.float64(0.6272360837055428)], [np.float64(0.2250325272182122), np.float64(0.2906001157077953), np.float64(0.2596804437194252)], [np.float64(0.13392707869104253), np.float64(0.2647131906910808), np.float64(0.27220664690779295)]]"
160,"[[np.float64(0.18028340158646686), np.float64(0.00016122065594351842), np.float64(0.0010779709737240648)], [np.float64(0.19021726603858574), np.float64(0.08019436408086122), np.float64(0.1321102299557763)], [np.float64(0.4465869059239278), np.float64(0.2562076762567893), np.float64(0.2271200862611318)]]","[[np.float64(2.304140882790611e-76), np.float64(0.5984087773405942), np.float64(0.17312774712096166)], [np.float64(6.228739173301898e-81), np.float64(3.886289808541467e-33), np.float64(5.8971177124932254e-55)], [np.float64(2.25297708381938e-223), np.float64(9.18634378762344e-113), np.float64(2.1154315030348985e-98)]]","[[np.float64(0.013289134927470369), np.float64(0.017765293062983162), np.float64(0.02049222430981927)], [np.float64(0.011181375418221274), np.float64(0.01825581938735855), np.float64(0.015956059657763616)], [np.float64(0.008540306473047004), np.float64(0.01682822298198859), np.float64(0.010028735137639433)]]","[[np.float64(0.2585432199938115), np.float64(0.00935854137341785), np.float64(0.027926549186021582)], [np.float64(0.22481556485646126), np.float64(0.22362258136484903), np.float64(0.25825695502914536)], [np.float64(0.3182674088285252), np.float64(0.4097310870773157), np.float64(0.2255320973512025)]]","[[np.float64(0.02217474730669655), np.float64(0.2598605349455451), np.float64(0.6271400518095644)], [np.float64(0.2227572550812923), np.float64(0.291319564966893), np.float64(0.25305337537940387)], [np.float64(0.12965936112178716), np.float64(0.264725940334618), np.float64(0.2712603728948252)]]"
