SNR,R^2,P-value,Standard Error,Slope,Intercept
100,"[[np.float64(0.5639982223128741), np.float64(0.03871250616698215), np.float64(0.29910002290820975)], [np.float64(0.1306500487207538), np.float64(0.21676803075749337), np.float64(0.12141038665422621)], [np.float64(0.710908323875347), np.float64(0.3248835526987558), np.float64(0.4901684815049557)]]","[[np.float64(1.54099334591e-312), np.float64(1.695393901468393e-16), np.float64(5.4015331768762444e-135)], [np.float64(2.519144528461287e-54), np.float64(2.0313141078157214e-93), np.float64(2.3332541917466656e-50)], [np.float64(0.0), np.float64(5.104602088809869e-149), np.float64(4.777610885019471e-254)]]","[[np.float64(0.02147644474537595), np.float64(0.0262602680952558), np.float64(0.010653633069415273)], [np.float64(0.010752284632058717), np.float64(0.014842035850377128), np.float64(0.011926768937846086)], [np.float64(0.013134546301829343), np.float64(0.018765920814340947), np.float64(0.011629864579296512)]]","[[np.float64(1.013322210184668), np.float64(0.21861934478659467), np.float64(0.28871435001692325)], [np.float64(0.1729213663648422), np.float64(0.3239189266517956), np.float64(0.1839281190201025)], [np.float64(0.8544654701031388), np.float64(0.5400510728520965), np.float64(0.47306894963469875)]]","[[np.float64(0.28860939368211647), np.float64(0.14368591513945195), np.float64(0.08648321147750644)], [np.float64(0.2412075766852297), np.float64(0.2151142003390191), np.float64(0.3021288282868257)], [np.float64(-0.023045848726725243), np.float64(0.24897434556425746), np.float64(0.15440553197839985)]]"
140,"[[np.float64(0.5647604121457056), np.float64(0.040022170320612026), np.float64(0.3060550457179398)], [np.float64(0.14844729362581827), np.float64(0.2736071032552197), np.float64(0.1382466722090117)], [np.float64(0.7099585700648338), np.float64(0.3250341746920569), np.float64(0.4886158547664805)]]","[[np.float64(3.4169631946e-313), np.float64(5.1612247187532495e-17), np.float64(1.0016104229492811e-138)], [np.float64(4.403428361897642e-62), np.float64(1.2673841294053231e-121), np.float64(1.2857215766646402e-57)], [np.float64(0.0), np.float64(4.211875866818264e-149), np.float64(6.550220089320106e-253)]]","[[np.float64(0.021463793699755446), np.float64(0.026281667648567514), np.float64(0.010706850380662472)], [np.float64(0.010533619013219243), np.float64(0.013036814464032147), np.float64(0.011051494504484706)], [np.float64(0.01323613253295679), np.float64(0.018989170757289345), np.float64(0.011783020541810607)]]","[[np.float64(1.0142963173183697), np.float64(0.22261943205874368), np.float64(0.2949778662013331)], [np.float64(0.18245191119987214), np.float64(0.3319248821490466), np.float64(0.18363155237522993)], [np.float64(0.8590887393198653), np.float64(0.5466634725747016), np.float64(0.477812181796491)]]","[[np.float64(0.28809014547293293), np.float64(0.1412854098329198), np.float64(0.08575406679361992)], [np.float64(0.24216159147692687), np.float64(0.20994501467327523), np.float64(0.2999972268376996)], [np.float64(-0.023725286561216336), np.float64(0.24645968909944038), np.float64(0.15207871144858512)]]"
180,"[[np.float64(0.5643514722685709), np.float64(0.039440562468592975), np.float64(0.3018801942234422)], [np.float64(0.12600235708544388), np.float64(0.29541680403302345), np.float64(0.15833390260981298)], [np.float64(0.7091090109257022), np.float64(0.3236765629290966), np.float64(0.48659411628396376)]]","[[np.float64(7.6693941973e-313), np.float64(8.753677002135685e-17), np.float64(1.7588068580721482e-136)], [np.float64(2.5214246914218324e-52), np.float64(4.941944027186905e-133), np.float64(1.8437287181835782e-66)], [np.float64(0.0), np.float64(2.3784791754889143e-148), np.float64(1.9574543370266758e-251)]]","[[np.float64(0.021473319095476694), np.float64(0.026300778572185702), np.float64(0.010709765793936935)], [np.float64(0.010328937246142355), np.float64(0.012405790426250696), np.float64(0.01091072933903862)], [np.float64(0.013285465385889428), np.float64(0.019093751598642877), np.float64(0.01183160230303701)]]","[[np.float64(1.0139027916031085), np.float64(0.2210896786112526), np.float64(0.29216133446264586)], [np.float64(0.16269727462017125), np.float64(0.33324706451819114), np.float64(0.19631851431871064)], [np.float64(0.8605152579826663), np.float64(0.5479742003066901), np.float64(0.4778449540827653)]]","[[np.float64(0.2882889738428518), np.float64(0.14237812266137675), np.float64(0.08597241434023258)], [np.float64(0.24664695064466896), np.float64(0.20998377720648162), np.float64(0.2977253425588563)], [np.float64(-0.024097801219444465), np.float64(0.24671852955571377), np.float64(0.15117363973293774)]]"
