SNR,R^2,P-value,Standard Error,Slope,Intercept
100,"[[np.float64(0.009404511659694942), np.float64(0.007542113527936273), np.float64(0.005332841689519994)], [np.float64(0.19137665031595838), np.float64(0.07525895309890043), np.float64(0.11808724772239079)], [np.float64(0.6491421994628751), np.float64(0.3700337255905288), np.float64(0.2790542389475413)]]","[[np.float64(5.530395928541356e-05), np.float64(0.00030729595774723326), np.float64(0.00242053754374684)], [np.float64(1.809903989649805e-81), np.float64(4.008575065202368e-31), np.float64(6.092151147167037e-49)], [np.float64(0.0), np.float64(6.485961560226922e-175), np.float64(1.9305205303563735e-124)]]","[[np.float64(0.016896344484620292), np.float64(0.0146428568049596), np.float64(0.022703784546747253)], [np.float64(0.009736422978553294), np.float64(0.013335432503668344), np.float64(0.010605243730839384)], [np.float64(0.011228915440923847), np.float64(0.015383782392812816), np.float64(0.01151050312785301)]]","[[np.float64(0.06829723824314789), np.float64(0.05295497161891769), np.float64(-0.06896506474964718)], [np.float64(0.1964993885527796), np.float64(0.15782164269936835), np.float64(0.16099032539451957)], [np.float64(0.6336254309922353), np.float64(0.489120164513868), np.float64(0.29708297071564094)]]","[[np.float64(0.08713504520317092), np.float64(0.11599998294481792), np.float64(0.7704437355579553)], [np.float64(0.25876796998637147), np.float64(0.3058846964479895), np.float64(0.2648067356119437)], [np.float64(0.014395859966682412), np.float64(0.1614034995963354), np.float64(0.33982880477742916)]]"
140,"[[np.float64(0.00936330735384271), np.float64(0.007065666729573253), np.float64(0.005407789679943128)], [np.float64(0.18739657633000556), np.float64(0.08191023788289742), np.float64(0.12042304578104991)], [np.float64(0.6503621871119578), np.float64(0.3725904398321754), np.float64(0.28310613566133713)]]","[[np.float64(5.7433013050567026e-05), np.float64(0.00047798933419776853), np.float64(0.0022551206994958707)], [np.float64(1.2505351741719643e-79), np.float64(7.712648969010862e-34), np.float64(6.1581566937050395e-50)], [np.float64(0.0), np.float64(1.9529734818294416e-176), np.float64(1.5006724957156932e-126)]]","[[np.float64(0.016905160049613364), np.float64(0.014644602400754155), np.float64(0.022702041940743)], [np.float64(0.009825084917113069), np.float64(0.014072192887722153), np.float64(0.011161682371626503)], [np.float64(0.011280672245739705), np.float64(0.015532630561766483), np.float64(0.011645690739907462)]]","[[np.float64(0.0681815950130611), np.float64(0.05124887435604448), np.float64(-0.06944527889849036)], [np.float64(0.19573489175424771), np.float64(0.1743727978268774), np.float64(0.17133179997291745)], [np.float64(0.6382544630882099), np.float64(0.4965645772420466), np.float64(0.303600789965587)]]","[[np.float64(0.08717552762777517), np.float64(0.11683036813546813), np.float64(0.7704751060434761)], [np.float64(0.25365847621413584), np.float64(0.30739591955601925), np.float64(0.2587760001062038)], [np.float64(0.012296687343014312), np.float64(0.15860437394563684), np.float64(0.33838686653798045)]]"
200,"[[np.float64(0.009496037115815098), np.float64(0.007115655054492211), np.float64(0.005453800342935192)], [np.float64(0.18886445405354146), np.float64(0.057798379590626454), np.float64(0.13126993950447988)], [np.float64(0.6507359362044094), np.float64(0.3736255422205447), np.float64(0.28391192191078907)]]","[[np.float64(5.0854054941869865e-05), np.float64(0.0004563072963769623), np.float64(0.002159293411461067)], [np.float64(2.6286648272755824e-80), np.float64(4.4647051608000385e-24), np.float64(1.3603935799107344e-54)], [np.float64(0.0), np.float64(4.710184995844359e-177), np.float64(5.693584904270485e-127)]]","[[np.float64(0.01689989834908592), np.float64(0.01463705206394356), np.float64(0.02269718412546691)], [np.float64(0.00984918103922116), np.float64(0.013336978018683183), np.float64(0.010854926583336744)], [np.float64(0.01132498789511194), np.float64(0.015703929548287546), np.float64(0.011826652231071318)]]","[[np.float64(0.0686463769120505), np.float64(0.05140462136011711), np.float64(-0.06972677075926537)], [np.float64(0.19716006491500926), np.float64(0.1370357176771275), np.float64(0.17504815730492984)], [np.float64(0.6412887565031895), np.float64(0.503152960830419), np.float64(0.3089305478853677)]]","[[np.float64(0.08696634650728272), np.float64(0.11672746611189189), np.float64(0.7706484074050063)], [np.float64(0.24838576005698626), np.float64(0.31751856000135215), np.float64(0.26880632603042287)], [np.float64(0.010203908212318508), np.float64(0.15684133091028624), np.float64(0.33707100230568615)]]"
