 11 5952.155968 1.529E-30 8.053E-03.04820.265 3770.87890.51-.001460          0 4 0          0 1 0 13  7  6       12  4  9      332230807294713152    81.0   75.0
 11 5952.220873 3.034E-29 1.690E-07.08830.412  488.13420.72-.006530          0 4 0          0 0 0  4  1  3        4  4  0      432230807260713049     9.0    9.0
 11 5952.244334 2.452E-29 9.684E-06.06650.265 1557.84440.660.005720          0 1 1          0 0 0 11  6  5       12  0 12      532230807294713152    23.0   25.0
 11 5952.498854 4.792E-25 8.614E-03.07400.333  882.89030.490.002000          0 1 1          0 0 0  9  5  4        8  1  7      464523807233712754    19.0   17.0
 11 5952.706946 6.845E-30 1.911E-05.06050.265 1960.20740.630.003980          0 1 1          0 0 0 11  8  3       12  2 10      432230807294713152    23.0   25.0
 11 5952.843082 8.201E-28 7.311E-02.04340.281 2915.87430.41-.011920          0 2 1          0 1 0 12  2 10       11  0 11      434223807294713152    75.0   69.0
 11 5953.092069 7.574E-29 1.844E-01.04650.265 3386.05240.45-.022330          0 2 1          0 1 0 13  3 10       12  1 11      434233807294713152    27.0   25.0
 11 5953.300444 1.608E-29 8.697E-04.05090.221 2631.28340.54-.019010          0 1 1          0 0 0 15  4 11       15  2 14      434233807294713152    31.0   31.0
 11 5953.481742 3.022E-30 3.438E-03.05560.298 3383.26540.54-.005010          0 5 0          0 1 0  9  4  5       10  5  6      332230807294713152    57.0   63.0
 11 5953.675062 5.497E-28 5.030E-02.06010.235 2739.42860.560.009930          0 1 1          0 0 0 15  5 10       14  3 11      434323807294713152    31.0   29.0
 11 5953.695681 6.281E-30 3.123E-04.07230.333 2490.35410.640.011580          1 0 1          0 1 0  8  5  4        8  1  7      432230807294713152    17.0   17.0
 11 5953.736837 2.074E-29 6.268E-03.02380.208 3211.21270.22-.021350          0 2 1          0 0 0 15  1 15       16  3 14      434233807294713152    93.0   99.0
 11 5953.982858 7.076E-30 6.411E-03.02480.208 3211.05520.24-.024480          0 2 1          0 0 0 15  0 15       16  2 14      432230807294713152    31.0   33.0
 11 5953.987231 8.038E-29 3.460E-01.04940.281 3487.39930.460.002690          0 2 1          0 1 0 12  6  7       11  4  8      434233807294713152    25.0   23.0
 11 5954.211345 1.246E-25 1.812E-01.04470.281 1843.02960.39-.004000          0 1 1          0 0 0 12  6  7       11  4  8      464723807233712754    25.0   23.0
 11 5954.517000 1.156E-29 3.062E-02.07870.391 3478.98660.63-.005410          0 1 2          0 2 0  6  1  6        5  0  5      434233807294713152    39.0   33.0
 11 5954.760008 8.949E-29 3.732E-04.07990.352 2180.64290.680.005760          1 0 1          0 1 0  7  4  4        7  0  7      434233807294713152    45.0   45.0
 11 5954.958426 1.218E-29 4.205E-05.05450.250 2246.88480.590.005140          0 1 1          0 0 0 12  8  4       13  2 11      434233807294713152    75.0   81.0
 11 5955.042523 4.018E-27 1.657E-02.07830.391 1922.82910.62-.009710          0 0 2          0 1 0  6  0  6        5  1  5      434323807294713152    13.0   11.0
 11 5955.058670 1.791E-30 6.244E-07.07170.298 1718.71880.66-.021190          1 2 0          0 0 0  9  0  9       10  5  6      432230807294713152    57.0   63.0
 11 5955.332711 4.737E-30 4.759E-04.06200.298 2904.42840.580.004870          2 0 0          0 1 0 10  5  6       10  2  9      432230807294713152    63.0   63.0
 11 5955.341823 3.250E-30 2.978E-03.02650.208 3439.30680.26-.025840          1 2 0          0 0 0 15  1 14       16  4 13      432230807294713152    93.0   99.0
 11 5956.102022 2.712E-30 2.175E-02.07820.371 3736.17080.65-.023150          0 1 2          0 2 0  7  1  6        6  2  5      332230807294713152    45.0   39.0
 11 5956.191829 1.126E-30 5.099E-05.06590.281 2740.42090.680.004650          0 2 1          0 0 0 10  5  5       11  9  2      432230807294713152    63.0   69.0
 11 5956.227741 2.422E-29 6.669E-06.06640.281 1690.66440.660.002700          0 1 1          0 0 0 10  8  2       11  2  9      432230807294713152    63.0   69.0
 11 5956.360195 1.330E-29 1.640E-06.07110.333 1255.91160.63-.004390          0 4 0          0 0 0  8  2  6        8  5  3      432230807260713049    17.0   17.0
 11 5956.407963 1.354E-30 1.032E-02.03360.265 3587.66670.29-.007970          0 5 0          0 1 0 11  3  9       12  2 10      332230807294713152    23.0   25.0
 11 5956.414209 9.820E-30 4.702E-05.03940.221 2358.30160.45-.012480          1 1 0          0 0 0 15  3 12       15  0 15      434233807294713152    93.0   93.0
 11 5956.586314 6.291E-29 4.243E-06.07950.333 1131.77560.71-.008020          0 4 0          0 0 0  8  1  7        8  4  4      432230807260713049    17.0   17.0
 11 5956.677524 4.666E-30 5.866E-03.00820.195 3291.1497-.26-.006680          0 4 0          0 0 0 16  1 15       17  2 16      332230807260713049    33.0   35.0
 11 5956.755447 5.840E-30 3.559E-06.07360.315 1810.58790.67-.016310          0 2 1          0 0 0  8  1  7        9  7  2      432230807294713152    51.0   57.0
 11 5956.974934 1.079E-30 1.741E-06.05970.298 2054.34520.64-.014740          0 4 0          0 0 0 10  4  7       10  7  4      432230807260713049    63.0   63.0
 11 5957.087360 1.242E-26 1.691E-02.07870.391 1920.76660.63-.005410          0 0 2          0 1 0  6  1  6        5  0  5      464323797294713152    39.0   33.0
 11 5957.269686 1.932E-29 8.550E-03.07930.315 2983.32310.70-.026940          0 0 2          0 1 0 10  3  7        9  4  6      434233807294713152    21.0   19.0
 11 5957.393559 1.024E-30 8.778E-06.06450.265 2433.80040.65-.022590          0 2 1          0 0 0 12  0 12       12  6  7      432230807294713152    75.0   75.0
