VZA,R^2,P-value,Standard Error,Slope,Intercept
120,"[[0.07198344557882504, 0.0008774841992387761, 0.01926997156489088], [0.3869179861572699, 0.33852310520028384, 0.16023878174749934], [0.6375749241877107, 0.06482471401241811, 0.3464187436218876]]","[[0.09415000927765324, 0.8560166301124474, 0.3929617169306008], [1.8298203850917483e-05, 8.222267232070826e-05, 0.010483907141077633], [6.700315411725174e-10, 0.11286002773272082, 6.478915304622116e-05]]","[[0.009087777675910918, 5.901128647312992e-17, 0.008061323047977739], [0.04422250618510293, 0.04298559925977042, 0.06604372889736373], [0.07288031323244883, 0.09860790486334305, 0.09782857580786954]]","[[0.015602275630623807, 1.07804567170845e-17, 0.006965686492371152], [0.21656352974967158, 0.18956213976933736, 0.1778399364214612], [0.5958796082615614, 0.16003955084516674, 0.43904438382986977]]","[[0.9893806364964332, 9.999999999291071e-07, 0.004746475187723302], [0.022085096968064898, -0.013264835138318581, 0.7984459265267062], [-0.010022348661930858, 0.28783493334780963, 0.3733132123067452]]"
140,"[[0.2390968468696, 0.018710711931628488, 0.01100860492175549], [0.590146418934023, 0.29709951377240984, 0.1861649877806909], [0.6527475787332083, 0.07878314215995384, 0.33711048146945044]]","[[0.0013662074630886557, 0.39998322198114855, 0.5193651685834861], [7.18462551363022e-09, 0.00027600524725126136, 0.00543901112316051], [2.9408599572660885e-10, 0.07936797322812716, 8.578116553578294e-05]]","[[0.0549994236430065, 4.800570493686638e-17, 0.054105505593786414], [0.04041709502436705, 0.056788563410252596, 0.07097461588899155], [0.0729800506101365, 0.10306123669706134, 0.0999907055689508]]","[[0.19005187965447912, 4.0863096849238345e-17, 0.03518869366624227], [0.2989664226075217, 0.22759186222431949, 0.20925491488841136], [0.6168022538352665, 0.1857902240674461, 0.43955880407214903]]","[[0.8602784296923025, 9.999999999465725e-07, 0.08278873498081002], [0.02756799858286231, -0.003464622352895505, 0.7361995459695427], [-0.010514370711986853, 0.29063383367651396, 0.3538558533243164]]"
155,"[[0.27207976860288363, 5.158883901187325e-06, 0.014120638344166802], [0.6355909157799466, 0.4011538872710716, 0.3312447143685575], [0.6568855509490985, 0.08234973711174957, 0.3323378218921308]]","[[0.000557167478869482, 0.9889021353655804, 0.4652002021920242], [7.443381980342509e-10, 1.1522577660127381e-05, 0.00010219524671788343], [2.334972004360384e-10, 0.07259695645892675, 9.892477228396499e-05]]","[[0.06824213560395923, 3.869866970636603e-17, 0.0685289943517324], [0.041114785283628316, 0.05198654337849151, 0.06599316583523443], [0.07326559603311336, 0.10409920952952802, 0.10055968416348747]]","[[0.25718796224742296, 5.418347215703175e-19, 0.0505570161781156], [0.3347218538311644, 0.2622893309183906, 0.28630677559429996], [0.6249096573444589, 0.192234681254859, 0.43734805164763174]]","[[0.8103986762562251, 9.999999999705033e-07, 0.11169388388393307], [0.024488655847784854, -0.027751307842122624, 0.7161625053479602], [-0.010335966801242824, 0.29199178121048847, 0.3480109955102236]]"
