 61 5955.256850 1.352E-24 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
 61 5955.301970 7.839E-25 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
 61 5955.387250 1.028E-24 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
 61 5955.406680 3.804E-25 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
 61 5955.433460 2.592E-24 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
 61 5955.461500 2.352E-24 5.211E-03.05860.074  376.80480.69-.011900                   0 0 0 0 1A1    7F2233         8F1  2     335332584848 7 1 7    45.0   51.0
 61 5955.499290 8.029E-25 8.288E-04.06580.079   62.87680.73-.011900                   0 0 0 0 1A1    3F1107         3F2  1     335332584848 7 1 7    21.0   21.0
 61 5955.519660 8.643E-25 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
 61 5955.541530 6.376E-24 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
 61 5955.653220 3.909E-25 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
 61 5955.701850 1.533E-24 3.397E-03.05860.074  376.82630.69-.011900                   0 0 0 0 1A1    7F1238         8F2  2     335332584848 7 1 7    45.0   51.0
 61 5955.741420 1.094E-24 2.424E-03.05860.074  376.78590.69-.011900                   0 0 0 0 1A1    7F1238         8F2  1     335332584848 7 1 7    45.0   51.0
 61 5955.759590 2.123E-24 0.000E+00.06440.078  219.91350.85-.011900                   0 0 0 0 1A1                   6E   1     3333325848481110 7     0.0    0.0
 61 5955.848660 7.930E-25 8.186E-04.06580.079   62.87580.73-.011900                   0 0 0 0 1A1    3F2102         3F1  1     335332584848 7 1 7    21.0   21.0
 61 5955.887110 4.917E-25 0.000E+00.06000.077  815.00000.85-.011900                                                            3333325848421110 7     0.0    0.0
